Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11
16,0.0866962468624115,0.038351430892944335,0.1409979569911957,0.019001379013061523,0.017729039192199706,0.012754001617431641,0.018323125839233397,0.0073343682289123534,0.002476686239242554,-0.0057962644100189205,0.04528737664222717,0.11218286156654358
17,0.0019126152992248536,0.047781935930252074,-0.004413807392120361,0.01463902473449707,-0.0031014907360076903,-0.006232544183731079,0.004614795446395874,-0.014032756090164184,-0.002885700464248657,-0.019567182064056398,-0.04381876945495605,-0.015627206563949586
18,-0.00040839314460754393,0.008395532369613648,-0.0009219861030578614,-0.038048917055130006,-0.009970675706863403,0.014546821117401123,-0.0001444542407989502,0.022327675819396972,5.712509155273438e-06,0.016530568599700927,-0.00017817020416259765,-0.0022324514389038086
19,0.0224470055103302,0.010031076669692994,-0.01305092453956604,0.26359481692314146,0.02238049030303955,0.00441169261932373,-0.004030736684799194,0.013070058822631837,0.007028998136520386,-0.005834134817123413,-0.0006705272197723389,0.0018575263023376464
20,0.007104309797286987,0.41803529500961306,0.018345258235931396,0.003083980083465576,0.02723357915878296,-0.003546171188354492,-0.00953831672668457,0.00737224817276001,0.0006827723979949951,0.0035163521766662597,0.007677868604660034,0.00361025333404541
21,0.03242239475250244,0.0030847978591918945,-0.005027350187301636,0.00440251350402832,0.015529145002365113,0.02816848874092102,0.0416121780872345,0.04979887008666992,0.023422437906265258,0.08021044135093688,0.03740316987037659,0.03028060793876648
22,-0.0016645359992980956,0.03973150134086609,0.0042033886909484865,-0.031686431169509886,-0.005509254932403565,0.08244452714920043,0.0248030424118042,0.10389550805091857,0.013367469310760499,0.0015253055095672608,0.07619417309761048,0.050199254751205444
23,0.20296109318733216,0.3673303210735321,0.2815171325206757,0.07214381456375123,0.09162365198135376,0.017591453790664673,-0.009687608480453492,-0.0061696720123291015,0.18317727446556092,-0.005209630727767945,-0.00018890976905822755,-0.0048274433612823485
24,-0.010368224382400513,0.002007342576980591,-0.004931864738464356,0.004379627704620362,0.00028943538665771485,0.035923432111740115,0.08248697400093079,0.009872286319732667,0.04676295518875122,0.05864158868789673,0.14010510444641114,0.03434723973274231
25,-0.014321820735931396,0.007969639301300048,0.024759678840637206,-0.0018329620361328125,0.06330435395240784,0.01571148872375488,0.06563470482826234,-0.0011499249935150147,0.015772702693939208,0.040304007530212405,0.0077615916728973385,0.09398960590362548
26,0.025832080841064455,0.2270704734325409,0.10557029724121093,0.08119678616523743,0.21361366152763367,0.03694994926452637,0.07119028687477112,0.059907705783843995,0.12328596353530884,0.09857694506645202,0.016033670902252196,0.05399237036705017
27,0.1036915934085846,0.07554249405860901,0.08781656384468078,0.07322565555572509,0.057106465101242065,0.149564665555954,0.09167615056037903,0.09069071888923645,0.060516437292099,-0.008243257999420167,0.01997977614402771,0.12726605653762818
